code,name,text,type_code,traits,pack_code,illustrator,image_url,xp,faction_code
9085,Onyx Pentacle,"[action]: Evade. Either use your [willpower] or get +1 [agility] for this evasion attempt. When you initiate this ability, choose one - - Exhaust Onyx Pentacle and place 1 doom on it to target any enemy at your location or a connecting location, and get +1 skill value for this evasion attempt. - If you succeed by 2 or more, remove 1 doom from Onyx Pentacle.",asset,Item|Charm,tskp,Drazenka Kimpel,https://arkhamdb.com/bundles/cards/09085.jpg,0,mystic
4069,Path of Thorns,"Forced - After you fail a skill test while investigating Path of Thorns: Take 1 damage. Forced - After you explore while at Path of Thorns, if the exploration was not successful: Take 1 damage.",location,Jungle,tfa,Andreas Adamek,https://arkhamdb.com/bundles/cards/04069.jpg,0,mythos
84035,Dimensional Shambler,"Hunter. Forced - After Dimensional Shambler deals you damage from its attack: Reveal a random token from the chaos bag. If an [auto_fail] symbol is revealed, it snatches you from this dimension; remove Dimensional Shambler from the game and you are defeated.",enemy,Monster|Extradimensional|Elite,hotel,Michael Komarck,https://arkhamdb.com/bundles/cards/84035.png,0,mythos
08717,Dr. Mala Sinha,Partner. Uses (3 supplies). [action] Spend 1 supply and exhaust Dr. Mala Sinha: Heal 2 damage from an investigator or another [[Ally]] asset at your location.,asset,Ally|Wayfarer,eoec,Lin Hsiang,https://arkhamdb.com/bundles/cards/08717.jpg,0,neutral
2019,Taunt,Fast. Play only during your turn. Engage any number of enemies at your location. Draw 1 card for each enemy engaged in this way.,event,Tactic,dwl,John Pacer,https://arkhamdb.com/bundles/cards/02019.jpg,2,guardian
11525,Treacherous Path,"X is this location's level. Forced - After Treacherous Path is revealed: Spawn the set-aside Coral Star Spawn enemy at this location, exhausted. It does not ready during the next upkeep phase.",location,R'lyeh|Walkway,tdcc,Walter Brocca,https://arkhamdb.com/bundles/cards/11525.jpg,0,mythos
70034,The Rift,"With a sudden flash of light, a rift begins to open in the wall nearby, energy slowly coalescing into the shape of a portal. It is too small to enter now, but soon it will be large enough for a person to step through... Revelation - Attach The Rift to the current act. If it is act 1, Groups B and C put the set-aside Key of Mysteries into play at a [[Distortion]] location. Forced - At the end of the round, if there is at least 3 doom on each group's agenda: The rift opens wide enough for an investigator to step through. Choose an investigator at any location to enter the rift. Then, that investigator flips this card over and follows the instructions on its other side.",story,Act 1|Act 2,lol,Unknown,https://arkhamdb.com/bundles/cards/70034.jpg,0,mythos
09542,Famine,Revelation - Put Famine into play next to the agenda deck. Increase the cost of each card you play by 1. Forced - At the end of the round: Discard Famine from play.,treachery,Corruption,tskc,Samuel Araya,https://arkhamdb.com/bundles/cards/09542.jpg,0,mythos
09554,The Cabildo,"[fast]: Look at the revealed side of a concealed mini-card at this location (without exposing it) . Then, draw the top card of the encounter deck. You may spend 2 clues to cancel this card's effects and discard it.",location,Buenos Aires,tskc,Pixoloid Studios,https://arkhamdb.com/bundles/cards/09554.jpg,0,mythos
54004,Occult Lexicon,"Limit 1 per deck. [reaction] When you play a copy of Blood-Rite: Either change each ""2"" on it to a ""3,"" or shuffle it into your deck instead of discarding it. Forced - After Occult Lexicon enters play: Search your bonded cards for 3 copies of Blood-Rite. Add 1 to your hand and shuffle the other 2 into your deck.",asset,Item|Tome|Occult,rttcu,Dimitri Bielak,https://arkhamdb.com/bundles/cards/54004.jpg,3,seeker
