code,name,text,type_code,traits,pack_code,illustrator,image_url,xp,faction_code
89010c,Replicating Aberration,"Replicate - When you spot a [[Manifold]] enemy being defeated with excess damage, spawn this enemy exhausted in its place (unless the investigators spend a countermeasure). Hunter. Forced - When Replicating Aberration leaves play: Return it to the event organizer. Blob 3.",enemy,Monster|Ooze|Manifold,blbe,Ethan Patrick Harris,https://arkhamdb.com/bundles/cards/89010c.jpg,0,mythos
11624,Ring Library,"[reaction] When you discard 1 or more cards from the top of the encounter deck, choose and discard 1 card from your hand: Discard 2 additional cards from the top of the encounter deck. [action]: Move. Move to a revealed [[Passageway]] location.",location,R'lyeh|Passageway,tdcc,Walter Brocca,https://arkhamdb.com/bundles/cards/11624.jpg,0,mythos
86019,Chateau Ramezay,"[action]: Test [willpower] (4). If you succeed, gain 1 clue (from the token pool) .",location,Montréal,wog,Yoann Boissonnet,https://arkhamdb.com/bundles/cards/86019.jpg,0,mythos
6330,Nightmare Bauble,"Limit 1 per deck. Forced - After Nightmare Bauble enters play: Search your bonded cards for 3 copies of Dream Parasite and attach them to Nightmare Bauble. When Nightmare Bauble leaves play, set each attached Dream Parasite aside, out of play. [reaction] When you reveal an [auto_fail] chaos token, shuffle an attached Dream Parasite into your deck: Cancel that token.",asset,Item|Charm|Cursed,woc,Ethan Patrick Harris,https://arkhamdb.com/bundles/cards/06330.jpg,3,survivor
51044,Brood of Yog-Sothoth,Massive. Retaliate. Brood of Yog-Sothoth gets +1 [per_investigator] health and cannot be damaged or attacked except using the ability on Esoteric Formula.,enemy,Monster|Abomination,rtdwl,Sam Lamont,https://arkhamdb.com/bundles/cards/51044.jpg,0,mythos
70034b,Deep Within the Labyrinth...,"You find yourself in a hub, of sorts - a pathway within the aether. Other prisoners have found their way here. Perhaps you can collaborate with them to find a way to escape. Each investigator that entered the rift takes this story card and meets in private, away from each group. Investigators within the rift can speak freely, and may exchange any number of clues, resources, cards in hand, or story assets controlled. Once the investigators are satisfied, each investigator returns to his or her original group. Flip this card back over.",story,No traits,lol,Unknown,https://arkhamdb.com/bundles/cards/70034b.jpg,0,mythos
2063,The Clover Club,Each [[Criminal]] enemy gains Aloof. If an investigator deals damage to a [[Criminal]] enemy: Immediately advance.,agenda,No traits,dwl,Matthew Cowdery,https://arkhamdb.com/bundles/cards/02063.jpg,0,mythos
54022,Arkham Woods,"While you are at this location, you cannot cancel or ignore card or game effects, and each encounter card you draw gains peril.",location,Woods,rttcu,Tommy Arnold,https://arkhamdb.com/bundles/cards/54022.jpg,0,mythos
2282,Base of the Hill,"Base of the Hill is connected to each copy of Diverging Path. [action]: Investigate. If you succeed, instead of discovering clues, put a random set-aside Diverging Path into play. (Limit once per round.) [action]: Resign. ""This is more than I signed up for!""",location,Dunwich|Sentinel Hill,wda,Dimitri Bielak,https://arkhamdb.com/bundles/cards/02282.jpg,0,mythos
2241,They Must Be Destroyed!,"Objective - Defeat as many Brood of Yog-Sothoth enemies as you can. If there are no copies of Brood of Yog-Sothoth in play or set aside, advance.",act,No traits,uau,Adam Lane,https://arkhamdb.com/bundles/cards/02241.jpg,0,mythos
